ZH,Variable,Saison,NivRechauf,GCM,RCM,delta,surface
P2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.37037990347164,3067.22
P1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.54453449930491,3300.37
P4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.31617326715945,1281.93
P3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.50258975814,2448.69
P6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.31315271133191,3746.82
P5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.11512739057546,2393.78
X0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,3.39005996217671,4831.02
X2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.95801899570627,2297.71
G7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.63718292274783,479.97
X1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.73290515757593,4602.76
G6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.65978852486786,456.42
X3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.47930350352954,2639.98
O7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.66710865389461,5705.78
O6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.06859901823987,7251.55
O9,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.98655037854432,6511.54
O8,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.3751914486431,5820.81
G1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.69269348573681,345.94
G0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.84949227353476,765.17
G3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.69935471680497,228.18
G2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.75386317847015,1034.43
G5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.57398244393532,246.4
S3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.70525928911813,1529.96
G4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.66814064421998,300.06
S2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.88342602968836,2028.55
S5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.55339775094134,369.87
S4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.64659997667842,1556.7
S6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.62447560418904,276.97
S9,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.16866236346487,73.83
K1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.46889192961731,11061.51
K0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.47407483614948,7272.23
S1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.76923794338662,2790.41
S0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.95505380842234,1910.73
J9,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.06130975538882,1525.76
B2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.36822799531202,1438.55
B1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.37083323204241,1321.05
B4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.28933353158789,1652.17
B3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.27825155414706,945.43
B6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.14366491912845,89.89
B5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.20972331083867,1446.48
J2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.7487777303996,1956.41
B7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.1081329126398,470.24
J1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.84640322648823,2963.99
J4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.98685730701332,2858.66
J3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.87193571016362,4248.04
J6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.08074321460552,1618.75
J5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.02548801503328,2612.19
J8,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.03458167160542,3604.79
R2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.27246230547045,1191.39
J7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.0380105184548,5706.93
